Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I22708,SAMD9L,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22709,ATP6V1D,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22710,Simvastatin,DrugBank Drug Targets,1,null,,,,,,,,,
I22711,relevance,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22712,responsein,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22713,Alveolar Rhabdomyosarcoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22714,PMC5528934__F2,Wikipathways PFOCR,1,null,,,,,,,,,
I22715,Fluconazole,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22716,GTEX-UJHI-1126-SM-4IHLN,GTEx Tissue Sample Gene Expression Profiles,1,1.43067,,,,,,,,,
I22717,Cockayne Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22718,H3K4me1_heart_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I22719,5,,,,,,,,,,,,
I22720,abnormality of the abdomen,HPO Gene-Disease Associations,1,null,,,,,,,,,
I22721,Lung Diseases,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22722,subjects,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22723,antofine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22724,Dihydroergotamine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22725,Lupus Erythematosus,,,,,,,,,,,,
I22726,Grepafloxacin,DrugBank Drug Targets,1,null,,,,,,,,,
I22727,drug transmembrane transport,GO Biological Process Annotations,1,null,,,,,,,,,
I22728,germ layer,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.072609,,,,,,,,,
I22729,TGBC11TKB,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I22730,Adenocarcinoma,,,,,,,,,,,,
I22731,correlates,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22732,constants,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22733,reversing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22734,Prostate adenocarcinoma_PRAD_TCGA-HC-7081-01A-11R-1965-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I22735,cellular_component,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,2.55214,,,,,,,,,
I22736,drugrelated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22737,red nucleus,,,,,,,,,,,,
I22738,allogeneic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22739,rs2032582,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22740,pharmacogenetics of cyclosporine,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22741,monolayers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22742,novo,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22743,poisoning,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22744,vessels,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22745,cerebral hemisphere,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.768197,,,,,,,,,
I22746,statin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22747,Autoimmune Disease (Systemic) Nos,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22748,dioscin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22749,manidipine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22750,GTEX-S3XE-0008-SM-3NM8O,GTEx Tissue Sample Gene Expression Profiles,-1,-0.827823,,,,,,,,,
I22751,GTEX-U3ZM-0226-SM-4DXTA,GTEx Tissue Sample Gene Expression Profiles,1,1.7432,,,,,,,,,
I22752,PFDN2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22753,Absence Epilepsy,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22754,cox2,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22755,gankyrin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22756,Calcium,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22757,Sick Sinus Syndrome,CTD Gene-Disease Associations,1,1.19379,,,,,,,,,
I22758,HCFC2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22759,PCBP2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22760,Congenital Contractural Arachnodactyly,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22761,nasal mucosa,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.237216,,,,,,,,,
I22762,HCC-366,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I22763,species,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22764,Early Pregnancy,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I22765,exons,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22766,key,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22767,viral infectious disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.800333,,,,,,,,,
I22768,EZH2_myotube_hg19_1,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I22769,GTEX-RUSQ-1926-SM-2TF6K,GTEx Tissue Sample Gene Expression Profiles,-1,-1.26561,,,,,,,,,
I22770,Inflammation,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I22771,explained,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22772,singlenucleotide,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22773,culture medium,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.26128,,,,,,,,,
I22774,bel-7402 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.261964,,,,,,,,,
I22775,skov-3 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.971984,,,,,,,,,
I22776,pakt,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22777,Neurobehavioral Manifestations,CTD Gene-Disease Associations,1,2.31721,,,,,,,,,
I22778,Fever,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22779,curves,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22780,GTEX-QV31-1426-SM-2S1QD,GTEx Tissue Sample Gene Expression Profiles,-1,-0.949589,,,,,,,,,
I22781,Difficulty Sleeping,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I22782,introduction,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22783,nephrotoxicity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22784,Itraconazole,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22785,UKE-1,Klijn et al.,,,,,,,,,,,
I22786,Emphysema,CTD Gene-Disease Associations,1,1.21043,,,,,,,,,
I22787,GTEX-TMMY-0008-SM-4DXU3,GTEx Tissue Sample Gene Expression Profiles,-1,-0.953199,,,,,,,,,
I22788,Small_Intestine-cd4-positive,,,,,,,,,,,,
I22789,oxidation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22790,small intestine,GTEx Tissue Gene Expression Profiles,1,1.05386,,,,,,,,,
I22791,spinal column,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.856732,,,,,,,,,
I22792,Avascular Necrosis,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I22793,extrusion,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22794,hl60adr,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22795,layer IIIa of caudal entorhinal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.26838,,,,,,,,,
I22796,Lymphoma,,,,,,,,,,,,
I22797,Cushing Syndrome,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22798,nervous system phenotype,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I22799,PHKG1,Kinase Library Serine Threonine Kinome Atlas,1,null,,,,,,,,,
I22800,Fluorescein,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I22801,hep-g2 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.29894,,,,,,,,,
I22802,examine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22803,ube2r1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22804,artery,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22805,TRPM1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22806,domperidone,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22807,acquired immunodeficiency syndrome,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.750864,,,,,,,,,
I22808,Brain Lower Grade Glioma_LGG_TCGA-DH-A7UR-01A-11R-A33Z-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I22809,Encephalomyelitis,,,,,,,,,,,,
I22810,A549,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I22811,16455817-Figure1B,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I22812,Serous Cystadenocarcinoma Ovary,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22813,RCOR1_CH12.LX_mm9_1,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I22814,CJ-42794,DeepCoverMOA Drug Mechanisms of Action,-1,null,,,,,,,,,
I22815,Hepatitis,,,,,,,,,,,,
I22816,POLR2AphosphoS2_K562_hg19_2,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I22817,lymphoblastic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22818,erythroleukemia cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.584022,,,,,,,,,
I22819,SG in rostral perirhinal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.38425,,,,,,,,,
I22820,scz,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22821,considered,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22822,Pain Perception,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22823,mouth,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.105157,,,,,,,,,
I22824,parameters,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22825,BRD-K69840642_HDAC6 inhibitor ISOX_SKMEL28_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I22826,SCC-4,COSMIC Cell Line Gene CNV Profiles,1,2.36889,,,,,,,,,
I22827,extrinsic cardiomyopathy,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.51611,,,,,,,,,
I22828,Pregnancy In Diabetics,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I22829,mitochondria,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22830,Nausea,CTD Gene-Disease Associations,1,2.88009,,,,,,,,,
I22831,shsy5y,HPA Cell Line Gene Expression Profiles,1,1.35975,,,,,,,,,
I22832,Thyroid Diseases,CTD Gene-Disease Associations,1,1.45936,,,,,,,,,
I22833,nfkappa,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22834,kinetic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22835,ginsenoside F2,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22836,ugt1a128,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22837,optimal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22838,GTEX-UTHO-0011-R1A-SM-3GIJO,GTEx Tissue Sample Gene Expression Profiles,1,1.28508,,,,,,,,,
I22839,Cholestasis,,,,,,,,,,,,
I22840,skeletalmuscle_e,HPA Tissue Sample Gene Expression Profiles,-1,-1.46998,,,,,,,,,
I22841,Kidney renal clear cell carcinoma_KIRC_TCGA-CZ-5457-01A-01R-1503-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I22842,Phosphatidylcholines,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22843,BRD-K49328571_dasatinib_MCF7_24_h_3.33_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I22844,mRNA_SALL4_19060217,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,,,,,,,,,
I22845,squamous cell carcinoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.153764,,,,,,,,,
I22846,Lipodystrophy,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22847,resveratrol,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22848,glomerular,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22849,temozolomide,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22850,V,,,,,,,,,,,,
I22851,amygdaloid complex_13 pcw_M_12820,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.21998,,,,,,,,,
I22852,SNU5,CCLE Cell Line Gene CNV Profiles,1,1.80074,,,,,,,,,
I22853,acute rejection after kidney transplantation,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22854,STAT4,MotifMap Predicted Transcription Factor Targets,1,null,,,,,,,,,
I22855,hirip,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22856,ELFN1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22857,BRD-K07762753_-666_A375_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I22858,mgmt,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22859,sirc cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.542566,,,,,,,,,
I22860,adenocarcinoma; pancreatic neoplasms,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22861,null cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.546533,,,,,,,,,
I22862,Acute Myeloid Leukemia_LAML_TCGA-AB-2966-03A-01T-0734-13,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I22863,samples,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22864,Sunitinib,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22865,baseline,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22866,bipolar disorder,GWASdb SNP-Disease Associations,1,0.537241,,,,,,,,,
I22867,markers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22868,hyperforin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22869,hyperlipidemias,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22870,Venous Thrombosis,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22871,Domperidone,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22872,Sarcoidosis,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22873,directly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22874,Epiretinal Membrane,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22875,sensitivity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22876,MTRF1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22877,Rheumatoid Arthritis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22878,transfers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22879,Anemia,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22880,Gastrointestinal Neoplasms,CTD Gene-Disease Associations,1,1.28889,,,,,,,,,
I22881,Carcinoma,,,,,,,,,,,,
I22882,those,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22883,Myocardial Ischemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22884,endocrine gland,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.11179,,,,,,,,,
I22885,including,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22886,GW7647,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I22887,PMC5982750__F5,Wikipathways PFOCR,1,null,,,,,,,,,
I22888,Erlotinib,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22889,BRD-A58955223_L-sulforophane_HEC108_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I22890,rnas,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22891,glioma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.464561,,,,,,,,,
I22892,pleura,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.641238,,,,,,,,,
I22893,BRD-K68313733_-666_A549_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I22894,hippocampus (hippocampal formation)_2 yrs_F_12979,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.06777,,,,,,,,,
I22895,progenitor,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22896,14684422-TableS1,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I22897,signals,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22898,utations,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22899,MYL3,MSigDB Cancer Gene Co-expression Modules,1,null,,,,,,,,,
I22900,Clozapine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22901,H3K4me2_CH12.LX_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I22902,scottish,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22903,Sepsis,CTD Gene-Disease Associations,1,1.89455,,,,,,,,,
I22904,length,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22905,GTEX-XUZC-0008-SM-4BOQG,GTEx Tissue Sample Gene Expression Profiles,-1,-1.82255,,,,,,,,,
I22906,clinical,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22907,exist,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22908,stavudine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22909,Neuro D,MotifMap Predicted Transcription Factor Targets,1,null,,,,,,,,,
I22910,POU3F2,CHEA Transcription Factor Targets,1,null,,,,,,,,,
I22911,Hypokinesia,CTD Gene-Disease Associations,1,2.1317,,,,,,,,,
I22912,visfatin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22913,19462257-Table2,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I22914,Radiating Pain,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I22915,GTEX-RWS6-0426-SM-47JXH,GTEx Tissue Sample Gene Expression Profiles,-1,-1.11041,,,,,,,,,
I22916,tacrolimus pharmacokinetics,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22917,mrp5,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22918,abnormal behavior,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I22919,KMS-34,Klijn et al.,,,,,,,,,,,
I22920,Angina,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22921,DPM1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22922,GTEX-NL3H-0011-R7a-SM-2I3G5,GTEx Tissue Sample Gene Expression Profiles,1,0.896098,,,,,,,,,
I22923,Etoposide,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22924,avoiding,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22925,H3K9ac_ES-E14_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I22926,endoxifen,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22927,glioblastoma multiforme,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.912668,,,,,,,,,
I22928,BRD-K88573743_A443654_MCF7_24_h_0.12_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I22929,colorectal adenocarcinoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.15096,,,,,,,,,
I22930,eye,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.405176,,,,,,,,,
I22931,breast cancer,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22932,rtv,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22933,age,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22934,Grand Mal Status Epilepticus,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22935,delayed graft function,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22936,GTEX-WZTO-1126-SM-3NM93,GTEx Tissue Sample Gene Expression Profiles,-1,-1.01299,,,,,,,,,
I22937,Leukemia,,,,,,,,,,,,
I22938,HIST1H2AB,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22939,17a-Ethynylestradiol,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22940,highest,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22941,Depressive Disorder,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22942,transitions,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22943,phosphate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22944,trichostatin A-4153,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I22945,cardiovascular system,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.55116,,,,,,,,,
I22946,cystic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22947,primary motor-sensory cortex (samples)_9 pcw_M_12833,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.3361,,,,,,,,,
I22948,ligand,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22949,Chronic Gastritis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22950,Coma,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I22951,Esophageal Carcinoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22952,H3K9ac_heart_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I22953,Liver Failure,,,,,,,,,,,,
I22954,infiltration,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22955,Mutism,CTD Gene-Disease Associations,1,1.12426,,,,,,,,,
I22956,Reserpine,DrugBank Drug Targets,1,null,,,,,,,,,
I22957,JUN-21703547-K562-HUMAN,CHEA Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I22958,nfe2l2_22586274_liver_lof_mouse_gpl4134_gse35124,GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations,-1,-0.769683,,,,,,,,,
I22959,baalc,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22960,6-(N-(7-nitro-2,,,,,,,,,,,,
I22961,low,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22962,RBPJ-21746931-IB4-LCL-HUMAN,CHEA Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I22963,BRD-K43389698_BMS-387032_A375_24_h_1.11_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I22964,starting,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22965,carrier-proteins,Phosphosite Textmining Biological Term Annotations,1,null,,,,,,,,,
I22966,lytic vacuole,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.446862,,,,,,,,,
I22967,Pica,CTD Gene-Disease Associations,1,1.31656,,,,,,,,,
I22968,17284363-Table3,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I22969,phospholipid transport,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I22970,H3K4me1_small intestine_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I22971,lovo cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.22425,,,,,,,,,
I22972,beryllium fluoride,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22973,sarcoma,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.885569,,,,,,,,,
I22974,Nilotinib,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22975,distribution,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22976,anterior orbital gyrus,,,,,,,,,,,,
I22977,plasma membrane,LOCATE Curated Protein Localization Annotations,1,null,,,,,,,,,
I22978,multivariate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22979,H3K4me1_megakaryocyte_mm9_2,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I22980,PPP2R3B,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I22981,cerebellar cortex_17 pcw_F_12880,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-0.842779,,,,,,,,,
I22982,Asarone,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I22983,body,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22984,Kidney renal clear cell carcinoma_KIRC_TCGA-CW-5585-11A-01R-1541-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I22985,cyp2d61010,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22986,Alfentanil,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22987,humanized,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22988,Head and Neck squamous cell carcinoma_HNSC_TCGA-CR-7370-01A-11R-2132-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I22989,aetiology,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I22990,Atazanavir,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I22991,SK-MEL-31,Klijn et al.,,,,,,,,,,,
I22992,Manganese,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I22993,Pseudolymphoma,CTD Gene-Disease Associations,1,1.02225,,,,,,,,,
I22994,prostate cancer,GAD Gene-Disease Associations,1,null,,,,,,,,,
I22995,Heart Failure,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22996,Central Nervous System Diseases,CTD Gene-Disease Associations,1,2.25866,,,,,,,,,
I22997,GNE-9605,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I22998,Malignant Tumor Of Colon,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I22999,Spironolactone,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I23000,o6methylguaninedna,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23001,lymphoblast,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.880781,,,,,,,,,
I23002,gst,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23003,penetration,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23004,non-small cell lung cancer cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.555671,,,,,,,,,
I23005,OAW-42,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I23006,abnormal cd8 positive,,,,,,,,,,,,
I23007,Metastatic Renal Cell Carcinoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23008,Ketazolam,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I23009,Infection,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I23010,brain capillary endothelial cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.572818,,,,,,,,,
I23011,ZNF740,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23012,enhancing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
