Patient ID,association,dataset,threshold value,standardized value
I17591,GTEx Tissue Sample Gene Expression Profiles,1,1.06128,
I17592,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.405305,
I17593,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17594,GTEx Tissue Sample Gene Expression Profiles,1,1.25848,
I17595,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17596,Achilles Cell Line Gene Essentiality Profiles,1,1.50549,
I17597,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.050382,
I17598,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I17599,GTEx Tissue Sample Gene Expression Profiles,1,0.900093,
I17600,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.25029,
I17601,GTEx Tissue Sample Gene Expression Profiles,-1,-1.12557,
I17602,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17603,GTEx Tissue Sample Gene Expression Profiles,-1,-1.38277,
I17604,GTEx Tissue Sample Gene Expression Profiles,-1,-1.03303,
I17605,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17606,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17607,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17608,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17609,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.427765,
I17610,GTEx Tissue Sample Gene Expression Profiles,1,1.22964,
I17611,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17612,Pathway Commons Protein-Protein Interactions,1,null,
I17613,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17614,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17615,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-2.6221,
I17616,TargetScan Predicted Nonconserved microRNA Targets,1,1.40969,
I17617,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.293151,
I17618,,,,
I17619,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17620,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17621,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17622,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17623,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17624,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.001,
I17625,GTEx Tissue Sample Gene Expression Profiles,1,1.81499,
I17626,KnockTF Gene Expression Profiles with Transcription Factor Perturbations,-1,-0.59119,
I17627,CCLE Cell Line Gene Expression Profiles,1,2.12151,
I17628,Achilles Cell Line Gene Essentiality Profiles,-1,-1.22347,
I17629,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17630,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17631,GeneSigDB Published Gene Signatures,1,null,
I17632,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17633,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17634,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17635,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17636,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I17637,,,,
I17638,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17639,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17640,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17641,DisGeNET Gene-Disease Associations,1,null,
I17642,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17643,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17644,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17645,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17646,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17647,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17648,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.97098,
I17649,CHEA Transcription Factor Targets,1,null,
I17650,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17651,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17652,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17653,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17654,GTEx Tissue Sample Gene Expression Profiles,1,2.01595,
I17655,GTEx Tissue Sample Gene Expression Profiles,-1,-1.03322,
I17656,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17657,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17658,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.14606,
I17659,GeneRIF Biological Term Annotations,1,null,
I17660,GEO Signatures of Differentially Expressed Genes for Diseases,-1,-0.501506,
I17661,Pathway Commons Protein-Protein Interactions,1,null,
I17662,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,2.09113,
I17663,Pathway Commons Protein-Protein Interactions,1,null,
I17664,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17665,GeneRIF Biological Term Annotations,1,null,
I17666,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I17667,GTEx Tissue Sample Gene Expression Profiles,-1,-1.14424,
I17668,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.607319,
I17669,,,,
I17670,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17671,,,,
I17672,GTEx Tissue Sample Gene Expression Profiles,-1,-1.28323,
I17673,ENCODE Histone Modification Site Profiles,1,null,
I17674,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17675,CCLE Cell Line Gene CNV Profiles,-1,-1.39617,
I17676,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.216325,
I17677,GDSC Cell Line Gene Expression Profiles,1,1.56325,
I17678,GDSC Cell Line Gene Expression Profiles,1,1.69638,
I17679,GO Molecular Function Annotations,1,null,
I17680,ENCODE Transcription Factor Targets,1,null,
I17681,GTEx Tissue Sample Gene Expression Profiles,1,0.889958,
I17682,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17683,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17684,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17685,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17686,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17687,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17688,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17689,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.357058,
I17690,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17691,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.059091,
I17692,CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17693,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17694,GTEx Tissue Sample Gene Expression Profiles,-1,-1.31321,
I17695,Klijn et al.,,,
I17696,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17697,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I17698,Wikipathways PFOCR,1,null,
I17699,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.944482,
I17700,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17701,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17702,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17703,,,,
I17704,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17705,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17706,GTEx Tissue Sample Gene Expression Profiles,-1,-1.24817,
I17707,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.220604,
I17708,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17709,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17710,,,,
I17711,Klijn et al.,,,
I17712,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17713,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17714,Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles,1,0.836189,
I17715,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.042037,
I17716,ENCODE Histone Modification Site Profiles,1,null,
I17717,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I17718,GTEx Tissue Sample Gene Expression Profiles,-1,-0.84854,
I17719,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.098466,
I17720,GTEx Tissue Sample Gene Expression Profiles,1,1.34564,
I17721,GTEx Tissue Sample Gene Expression Profiles,-1,-1.55669,
I17722,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,2.87245,
I17723,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17724,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,
I17725,GTEx Tissue Sample Gene Expression Profiles,-1,-1.01292,
I17726,Pathway Commons Protein-Protein Interactions,1,null,
I17727,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17728,ENCODE Histone Modification Site Profiles,1,null,
I17729,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17730,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.12193,
I17731,DisGeNET Gene-Disease Associations,1,null,
I17732,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17733,,,,
I17734,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.482084,
I17735,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17736,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,2.01465,
I17737,GTEx Tissue Sample Gene Expression Profiles,1,1.07849,
I17738,Heiser et al.,,,
I17739,GeneRIF Biological Term Annotations,1,null,
I17740,GTEx Tissue Sample Gene Expression Profiles,1,1.34956,
I17741,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17742,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17743,Pathway Commons Protein-Protein Interactions,1,null,
I17744,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17745,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17746,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.0954,
I17747,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17748,GTEx Tissue Sample Gene Expression Profiles,1,1.11798,
I17749,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17750,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17751,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17752,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17753,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17754,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I17755,Pathway Commons Protein-Protein Interactions,1,null,
I17756,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17757,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I17758,Pathway Commons Protein-Protein Interactions,1,null,
I17759,GeneRIF Biological Term Annotations,1,null,
I17760,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17761,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17762,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.041043,
I17763,GTEx Tissue Sample Gene Expression Profiles,1,0.896719,
I17764,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.02402,
I17765,Klijn et al.,,,
I17766,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17767,Pathway Commons Protein-Protein Interactions,1,null,
I17768,Achilles Cell Line Gene Essentiality Profiles,1,1.04057,
I17769,GeneRIF Biological Term Annotations,1,null,
I17770,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.04893,
I17771,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17772,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17773,CCLE Cell Line Gene CNV Profiles,-1,-1.52522,
I17774,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17775,COSMIC Cell Line Gene CNV Profiles,1,2.39327,
I17776,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.184128,
I17777,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17778,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17779,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17780,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17781,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17782,GTEx Tissue Sample Gene Expression Profiles,1,0.892363,
I17783,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17784,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,-1,null,
I17785,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17786,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17787,GeneRIF Biological Term Annotations,1,null,
I17788,,,,
I17789,CHEA Transcription Factor Binding Site Profiles,1,null,
I17790,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17791,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17792,GTEx Tissue Sample Gene Expression Profiles,1,0.915172,
I17793,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17794,ENCODE Transcription Factor Targets,1,null,
I17795,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17796,MotifMap Predicted Transcription Factor Targets,1,null,
I17797,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17798,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17799,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17800,ENCODE Histone Modification Site Profiles,1,null,
I17801,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17802,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.468824,
I17803,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17804,GTEx Tissue Sample Gene Expression Profiles,1,1.0505,
I17805,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17806,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17807,,,,
I17808,ENCODE Transcription Factor Targets,1,null,
I17809,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17810,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17811,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17812,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17813,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17814,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17815,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17816,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17817,Pathway Commons Protein-Protein Interactions,1,null,
I17818,GeneRIF Biological Term Annotations,1,null,
I17819,HPA Tissue Sample Gene Expression Profiles,-1,-0.936955,
I17820,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-0.898037,
I17821,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17822,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17823,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17824,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17825,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17826,Pathway Commons Protein-Protein Interactions,1,null,
I17827,CTD Gene-Disease Associations,1,1.20229,
I17828,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17829,Pathway Commons Protein-Protein Interactions,1,null,
I17830,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17831,Roadmap Epigenomics Cell and Tissue Gene Expression Profiles,1,1.38648,
I17832,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17833,GeneSigDB Published Gene Signatures,1,null,
I17834,DisGeNET Gene-Phenotype Associations,1,null,
I17835,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17836,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17837,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.399751,
I17838,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17839,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17840,Klijn et al.,,,
I17841,Achilles Cell Line Gene Essentiality Profiles,1,2.22387,
I17842,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,-1,-1.8303,
I17843,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17844,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17845,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17846,CHEA Transcription Factor Targets,1,null,
I17847,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17848,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17849,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17850,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17851,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17852,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17853,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17854,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17855,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17856,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I17857,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17858,CTD Gene-Disease Associations,1,1.06844,
I17859,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17860,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17861,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17862,Pathway Commons Protein-Protein Interactions,1,null,
I17863,Pathway Commons Protein-Protein Interactions,1,null,
I17864,Klijn et al.,,,
I17865,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17866,GEO Signatures of Differentially Expressed Genes for Viral Infections,1,2.08477,
I17867,CTD Gene-Disease Associations,1,1.38043,
I17868,COSMIC Cell Line Gene Mutation Profiles,1,null,
I17869,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17870,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17871,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17872,Pathway Commons Protein-Protein Interactions,1,null,
I17873,GTEx Tissue Sample Gene Expression Profiles,-1,-1.19084,
I17874,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17875,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17876,Pathway Commons Protein-Protein Interactions,1,null,
I17877,GTEx Tissue Sample Gene Expression Profiles,-1,-1.0776,
I17878,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17879,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I17880,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17881,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.62059,
I17882,GTEx Tissue Sample Gene Expression Profiles,1,1.33832,
I17883,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17884,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17885,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17886,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17887,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17888,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.902853,
I17889,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17890,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.77908,
I17891,GTEx Tissue Sample Gene Expression Profiles,1,1.05765,
I17892,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17893,Pathway Commons Protein-Protein Interactions,1,null,
I17894,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17895,TargetScan Predicted Nonconserved microRNA Targets,1,1.40969,
I17896,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17897,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17898,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17899,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.055934,
I17900,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.18827,
I17901,GeneRIF Biological Term Annotations,1,null,
I17902,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I17903,,,,
I17904,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17905,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17906,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.20145,
I17907,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17908,TargetScan Predicted Nonconserved microRNA Targets,1,1.99187,
I17909,Pathway Commons Protein-Protein Interactions,1,null,
I17910,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17911,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.24257,
I17912,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17913,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17914,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17915,ENCODE Histone Modification Site Profiles,1,null,
I17916,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17917,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.053499,
I17918,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17919,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17920,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17921,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17922,CTD Gene-Disease Associations,1,1.31059,
I17923,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17924,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17925,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17926,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17927,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.079474,
I17928,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17929,Klijn et al.,,,
I17930,CTD Gene-Disease Associations,1,1.50549,
I17931,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I17932,Klijn et al.,,,
I17933,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I17934,COSMIC Cell Line Gene Mutation Profiles,1,null,
I17935,ENCODE Histone Modification Site Profiles,1,null,
I17936,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17937,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.448346,
I17938,TargetScan Predicted Nonconserved microRNA Targets,1,0.880544,
I17939,GTEx Tissue Sample Gene Expression Profiles,-1,-1.29854,
I17940,Pathway Commons Protein-Protein Interactions,1,null,
I17941,ENCODE Transcription Factor Binding Site Profiles,1,null,
I17942,GTEx Tissue Sample Gene Expression Profiles,-1,-0.97575,
I17943,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17944,GeneRIF Biological Term Annotations,1,null,
I17945,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,
I17946,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17947,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17948,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I17949,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17950,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.185612,
I17951,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17952,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.877225,
I17953,GTEx Tissue Sample Gene Expression Profiles,1,0.902195,
I17954,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17955,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17956,GeneRIF Biological Term Annotations,1,null,
I17957,CHEA Transcription Factor Targets,1,null,
I17958,Pathway Commons Protein-Protein Interactions,1,null,
I17959,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.30336,
I17960,COSMIC Cell Line Gene CNV Profiles,1,2.39327,
I17961,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17962,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17963,ENCODE Transcription Factor Binding Site Profiles,1,null,
